日期,销售额,数量,百分比,状态
2023-01-15,¥25,000,150,87.3%,已完成
2023-02-28,￥32000,200,92.1%,进行中
2023-03-10,28500元,180,76.5%,待审核
2023-04-05,$45000,250,88.9%,已完成
2023-05-20,52000,300,95.2%,进行中
2023-06-12,¥18,900,120,71.3%,待审核
2023-07-08,35000元,175,84.6%,已完成
2023-08-15,￥41000,210,89.7%,进行中
2023-09-22,$55000,280,93.4%,待审核
2023-10-30,48000,240,86.2%,已完成
2023-11-14,¥21,500,130,78.9%,进行中
2023-12-25,39000元,200,91.5%,待审核
2023-01-10,￥27000,160,82.3%,已完成
2023-02-15,$33000,190,85.7%,进行中
2023-03-20,30000,170,73.4%,待审核
2023-04-08,¥42,000,220,88.1%,已完成
2023-05-18,49000元,260,92.8%,进行中
2023-06-25,￥36500,210,80.5%,待审核
2023-07-12,$44000,230,87.3%,已完成
2023-08-22,38000,200,81.6%,进行中
2023-09-10,¥24,000,140,74.2%,待审核
2023-10-28,47000元,270,90.1%,已完成
2023-11-05,￥40000,240,86.9%,进行中
2023-12-15,$31000,175,79.3%,待审核
2023-01-22,26000,155,83.7%,已完成
